chamador,dsl,java
1,10,26
2,10,25
3,10,32
4,11,52
5,15,41
6,9,16
7,18,21
8,12,25
9,9,11
10,11,23
11,7,27
12,8,41
13,8,14
14,10,23
15,7,45
16,11,24
17,7,21
18,7,9
19,9,19
20,8,12
21,8,16
22,10,13
23,8,11
24,8,35
25,7,11
26,10,17
27,8,13
28,7,9
29,10,13
30,7,13
31,7,10
32,7,10
33,9,23
34,13,24
35,7,9
36,11,23
37,9,20
39,10,20
40,10,24
41,8,13
42,11,32
43,10,27
44,18,26
45,8,10
46,10,17
47,7,10
48,8,10
49,7,10
50,9,13
51,9,25
52,8,13
53,18,22
54,8,13
55,10,18
56,8,11
57,7,9
58,7,58
59,17,34
60,7,9
61,12,24
63,9,16
64,9,21
65,8,23
66,8,11
67,8,11
68,9,11
69,8,11
70,8,48
71,9,11
72,10,12
73,11,17
74,10,15
75,9,26
76,11,36
77,11,28
78,9,130
79,9,15
80,8,18
81,8,14
82,7,68
85,12,16
86,7,19
88,8,11
89,7,9
90,7,9
96,8,14
97,11,13
98,13,96
99,8,13
100,10,32
104,11,28
105,9,18
106,9,19
108,14,17
110,7,25
113,13,55
116,8,12
117,9,22
118,8,20
121,8,17
122,10,48
123,8,44
124,10,54
125,8,39
126,12,47
127,9,43
128,9,39
129,9,27
130,12,25
131,12,45
132,11,48
133,11,60
134,8,38
135,11,69
136,8,32
137,10,59
138,11,49
139,11,18
140,8,67
141,10,32
142,11,29
143,12,59
144,11,43
145,8,43
146,8,64
147,8,61
148,10,27
149,8,24
150,12,61
151,8,61
152,10,17
153,11,47
154,11,37
155,12,19
156,12,15
157,8,21
158,10,37
159,9,43
160,12,39
161,9,29
162,11,22
163,11,25
164,12,22
165,8,67
166,11,17
167,11,71
168,11,57
169,8,17
170,10,21
171,10,18
172,8,26
173,12,25
174,8,14
175,10,31
176,9,23
177,8,20
178,9,22
179,9,17
180,10,14
181,12,23
182,9,33
183,9,60
184,9,25
185,9,25
186,8,56
187,9,50
188,11,30
189,11,14
190,12,61
191,12,15
192,9,34
193,11,24
194,9,68
195,12,63
196,10,60
197,9,22
198,10,70
199,11,15
200,10,19
201,10,25
202,10,39
203,12,20
204,11,31
205,11,42
206,9,46
207,10,15
208,10,42
209,9,34
210,8,11
211,12,16
212,12,16
213,8,12
214,12,44
215,9,19
216,11,14
217,9,16
218,10,21
219,10,23
220,12,15
221,8,44
